site_code,article_code,dept_code,section_code,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23
101558,13170,5683,Boys Junior,0,0,0,399,0,299,0,0,1003.689782,2619.313659,6315.985922,1371.050519,997,1197,1197,0,1795.5,1995,1957.99,1117,0,319,0,0,0,360,3600,4680,7097.39,4483.01,1917.03,0,0,0,0,0
101558,13173,5683,Boys Junior,0,0,0,0,0,0,0,0,0,0,0,0,349.3,998,499,1996,2559.28,1996,1247.5,0,0,0,0,0,0,700,3100,4800,4600,3180,950,0,0,0,0,0
101558,13176,5683,Boys Junior,0,0,599,4193,3461.76,718.8,0,0,0,1852.792103,7027.150446,4067.212456,0.05,1597,3593,0,848.5,1850.62,1379.86,249.5,0,0,0,349.3,0,1197,349,0,0,3243.5,1996.02,0,0,0,0,0
101558,13179,5683,Boys Junior,0,0,4193,13920.36,10552.25,4883.12,589.3012014,0,0,0,0,16569.74338,1118.4,2297,10011.67,8672.32,13630.5,4294,1025.87,349.5,0,0,0,239.7,0,749,5892,1498,1163.38,0,0,0,0,0,0,0
